Year,Month,Title,URL
2019,12,"Akhir Sesi Satu, IHSG Masih Bertahan di Zona Hijau",https://www.cnbcindonesia.com/market/20191227115510-17-126003/akhir-sesi-satu-ihsg-masih-bertahan-di-zona-hijau
2019,12,"Santa Claus Rally, Simak Saham Potensi Cuan Hari Ini",https://www.cnbcindonesia.com/market/20191227084131-17-125918/santa-claus-rally-simak-saham-potensi-cuan-hari-ini
2020,1,"Indeks LQ-45 Anjlok Lebih Dalam, tapi Saham GGRM Bertahan",https://www.cnbcindonesia.com/market/20200131145630-17-134294/indeks-lq-45-anjlok-lebih-dalam-tapi-saham-ggrm-bertahan
2020,1,"IHSG Boncos Hampir 2%, Saham-saham BUKU IV Babak Belur",https://www.cnbcindonesia.com/market/20200131173109-17-134366/ihsg-boncos-hampir-2-saham-saham-buku-iv-babak-belur
2020,1,"IHSG Terburuk dalam 9 Tahun, January Effect Absen Tahun Ini",https://www.cnbcindonesia.com/market/20200131161421-17-134329/ihsg-terburuk-dalam-9-tahun-january-effect-absen-tahun-ini
2020,1,"Parah! IHSG Ugal-ugalan, Market Cap Menguap Rp 347 T",https://www.cnbcindonesia.com/market/20200131130201-17-134248/parah-ihsg-ugal-ugalan-market-cap-menguap-rp-347-t
2020,1,"Duh! Virus Corona, IHSG Anjlok & Tinggalkan Level 6.000",https://www.cnbcindonesia.com/market/20200131120345-17-134236/duh-virus-corona-ihsg-anjlok-tinggalkan-level-6000
2020,2,"Anjloknya Saham Bank Besar Bikin IHSG Drop 3,69%",https://www.cnbcindonesia.com/market/20200228092252-17-141061/anjloknya-saham-bank-besar-bikin-ihsg-drop-369
2020,2,"Melemah 5 Hari Beruntun, Ada Potensi Tekanan Pada IHSG Mereda",https://www.cnbcindonesia.com/market/20200227191202-17-140995/melemah-5-hari-beruntun-ada-potensi-tekanan-pada-ihsg-mereda
2020,2,"IHSG Drop 2,7%, Kapitalisasi Bursa Saham RI Susut Rp 171 T",https://www.cnbcindonesia.com/market/20200227175722-17-140969/ihsg-drop-27-kapitalisasi-bursa-saham-ri-susut-rp-171-t
2020,2,"Saham BCA Ambles 6,2%, Kekayaan Duo Hartono Susut Rp 27 T",https://www.cnbcindonesia.com/market/20200227143255-17-140884/saham-bca-ambles-62-kekayaan-duo-hartono-susut-rp-27-t
2020,2,"Ada Kasus Investasi, Jiwasraya & Corona, Ini Rekam Jejak IHSG",https://www.cnbcindonesia.com/market/20200227123701-17-140829/ada-kasus-investasi-jiwasraya-corona-ini-rekam-jejak-ihsg
2020,3,"Resmi OJK, Ini Daftar 42 Bank yang Beri Keringanan Kredit",https://www.cnbcindonesia.com/market/20200331174520-17-148852/resmi-ojk-ini-daftar-42-bank-yang-beri-keringanan-kredit
2020,3,"6 Saham Ini jadi Pengerak IHSG Naik 2% Lebih, Sudah Murah?",https://www.cnbcindonesia.com/market/20200331091943-17-148641/6-saham-ini-jadi-pengerak-ihsg-naik-2-lebih-sudah-murah
2020,3,"Tren Bearish IHSG Belum Berakhir, Cek Saham Pilihan Hari Ini",https://www.cnbcindonesia.com/market/20200331080949-17-148622/tren-bearish-ihsg-belum-berakhir-cek-saham-pilihan-hari-ini
2020,3,Great Sale Lagi! 4 Saham Bank BUKU IV Ini Murah Meriah,https://www.cnbcindonesia.com/market/20200330145144-17-148492/great-sale-lagi-4-saham-bank-buku-iv-ini-murah-meriah
2020,3,"Great Sale! IHSG Ambles, Harga 5 Saham Ini Lagi Murah nih",https://www.cnbcindonesia.com/market/20200330110638-17-148397/great-sale-ihsg-ambles-harga-5-saham-ini-lagi-murah-nih
2020,4,"Asing Masuk, IHSG Ditutup Tembus Lagi Level Psikologis 4.700",https://www.cnbcindonesia.com/market/20200430150433-17-155560/asing-masuk-ihsg-ditutup-tembus-lagi-level-psikologis-4700
2020,4,"Asing Berbalik Net Buy, IHSG Masuki Sesi Dua di Jalur Hijau",https://www.cnbcindonesia.com/market/20200430134232-17-155533/asing-berbalik-net-buy-ihsg-masuki-sesi-dua-di-jalur-hijau
2020,4,"Banjir Sentimen Positif, Siap-siap IHSG Sesi II Melesat Lagi",https://www.cnbcindonesia.com/market/20200430125904-17-155521/banjir-sentimen-positif-siap-siap-ihsg-sesi-ii-melesat-lagi
2020,4,"Ada UNVR, TLKM & GGRM, Sederet Saham Pilihan Broker",https://www.cnbcindonesia.com/market/20200430085051-17-155409/ada-unvr-tlkm-ggrm-sederet-saham-pilihan-broker
